,Token_ID,Token,Lemma,POS,POS_TAG,Dependency_Head,Dependency_Label,idx_sent,Negation_cue,next,prev,HECT,HECA
0,0,Chapter,chapter,NOUN,NN,5,nmod,0,O,None,1,0,0
1,1,1,1,NUM,CD,1,nummod,0,O,Chapter,Mr.,0,0
2,2,Mr.,Mr.,PROPN,NNP,5,compound,0,O,1,Sherlock,0,0
3,3,Sherlock,Sherlock,PROPN,NNP,5,compound,0,O,Mr.,Holmes,0,0
4,4,Holmes,Holmes,PROPN,NNP,0,ROOT,0,O,Sherlock,Mr.,0,0
5,0,Mr.,Mr.,PROPN,NNP,3,compound,1,O,Holmes,Sherlock,0,0
6,1,Sherlock,Sherlock,PROPN,NNP,3,compound,1,O,Mr.,Holmes,0,0
7,2,Holmes,Holmes,PROPN,NNP,28,nsubjpass,1,O,Sherlock,",",0,0
8,3,",",",",PUNCT,",",3,punct,1,O,Holmes,who,0,0
9,4,who,who,PRON,WP,6,nsubj,1,O,",",was,0,0
10,5,was,be,AUX,VBD,3,relcl,1,O,who,usually,0,0
11,6,usually,usually,ADV,RB,6,advmod,1,O,was,very,0,0
12,7,very,very,ADV,RB,9,advmod,1,O,usually,late,0,0
13,8,late,late,ADJ,JJ,6,acomp,1,O,very,in,0,0
14,9,in,in,ADP,IN,9,prep,1,O,late,the,0,0
15,10,the,the,DET,DT,12,det,1,O,in,mornings,0,0
16,11,mornings,morning,NOUN,NNS,10,pobj,1,O,the,",",0,0
17,12,",",",",PUNCT,",",6,punct,1,O,mornings,save,0,0
18,13,save,save,VERB,VB,6,dep,1,B-NEG,",",upon,0,0
19,14,upon,upon,SCONJ,IN,14,prep,1,O,save,those,0,0
20,15,those,those,DET,DT,19,det,1,O,upon,not,0,0
21,16,not,not,PART,RB,18,neg,1,B-NEG,those,infrequent,1,0
22,17,infrequent,infrequent,ADJ,JJ,19,amod,1,B-NEG,not,occasions,0,0
23,18,occasions,occasion,NOUN,NNS,15,pobj,1,O,infrequent,when,0,0
24,19,when,when,SCONJ,WRB,22,advmod,1,O,occasions,he,0,0
25,20,he,he,PRON,PRP,22,nsubj,1,O,when,was,0,0
26,21,was,be,AUX,VBD,14,advcl,1,O,he,up,0,0
27,22,up,up,ADV,RB,22,advmod,1,O,was,all,0,0
28,23,all,all,DET,DT,25,det,1,O,up,night,0,0
29,24,night,night,NOUN,NN,23,npadvmod,1,O,all,",",0,0
30,25,",",",",PUNCT,",",28,punct,1,O,night,was,0,0
31,26,was,be,AUX,VBD,28,auxpass,1,O,",",seated,0,0
32,27,seated,seat,VERB,VBN,0,ROOT,1,O,was,at,0,0
33,28,at,at,ADP,IN,28,prep,1,O,seated,the,0,0
34,29,the,the,DET,DT,32,det,1,O,at,breakfast,0,0
35,30,breakfast,breakfast,NOUN,NN,32,compound,1,O,the,table,0,0
36,31,table,table,NOUN,NN,29,pobj,1,O,breakfast,.,0,0
37,32,.,.,PUNCT,.,28,punct,1,O,table,I,0,0
38,0,I,I,PRON,PRP,2,nsubj,2,O,.,stood,0,0
39,1,stood,stand,VERB,VBD,0,ROOT,2,O,I,upon,0,0
40,2,upon,upon,SCONJ,IN,2,prep,2,O,stood,the,0,0
41,3,the,the,DET,DT,5,det,2,O,upon,hearth-rug,0,0
42,4,hearth-rug,hearth-rug,NOUN,NN,3,pobj,2,O,the,and,0,0
43,5,and,and,CCONJ,CC,2,cc,2,O,hearth-rug,picked,0,0
44,6,picked,pick,VERB,VBD,2,conj,2,O,and,up,0,0
45,7,up,up,ADP,RP,7,prt,2,O,picked,the,0,0
46,8,the,the,DET,DT,10,det,2,O,up,stick,0,0
47,9,stick,stick,NOUN,NN,7,dobj,2,O,the,which,0,0
48,10,which,which,PRON,WDT,15,dobj,2,O,stick,our,0,0
49,11,our,our,PRON,PRP$,13,poss,2,O,which,visitor,0,0
50,12,visitor,visitor,NOUN,NN,15,nsubj,2,O,our,had,0,0
51,13,had,have,AUX,VBD,15,aux,2,O,visitor,left,0,0
52,14,left,leave,VERB,VBN,10,relcl,2,O,had,behind,0,0
53,15,behind,behind,ADP,IN,15,prep,2,O,left,him,0,0
54,16,him,he,PRON,PRP,16,pobj,2,O,behind,the,0,0
55,17,the,the,DET,DT,19,det,2,O,him,night,0,0
56,18,night,night,NOUN,NN,15,npadvmod,2,O,the,before,0,0
57,19,before,before,ADV,RB,19,advmod,2,O,night,.,0,0
58,20,.,.,PUNCT,.,2,punct,2,O,before,It,0,0
59,0,It,it,PRON,PRP,2,nsubj,3,O,.,was,0,0
60,1,was,be,AUX,VBD,0,ROOT,3,O,It,a,0,0
61,2,a,a,DET,DT,7,det,3,O,was,fine,0,0
62,3,fine,fine,ADJ,JJ,7,amod,3,O,a,",",0,0
63,4,",",",",PUNCT,",",7,punct,3,O,fine,thick,0,0
64,5,thick,thick,ADJ,JJ,7,amod,3,O,",",piece,0,0
65,6,piece,piece,NOUN,NN,2,attr,3,O,thick,of,0,0
66,7,of,of,ADP,IN,7,prep,3,O,piece,wood,0,0
67,8,wood,wood,NOUN,NN,8,pobj,3,O,of,",",0,0
68,9,",",",",PUNCT,",",7,punct,3,O,wood,bulbous-headed,0,0
69,10,bulbous-headed,bulbous-heade,VERB,VBD,2,conj,3,O,",",",",0,0
70,11,",",",",PUNCT,",",11,punct,3,O,bulbous-headed,of,0,0
71,12,of,of,ADP,IN,11,prep,3,O,",",the,0,0
72,13,the,the,DET,DT,15,det,3,O,of,sort,0,0
73,14,sort,sort,NOUN,NN,13,pobj,3,O,the,which,0,0
74,15,which,which,PRON,WDT,18,nsubjpass,3,O,sort,is,0,0
75,16,is,be,AUX,VBZ,18,auxpass,3,O,which,known,0,0
76,17,known,know,VERB,VBN,15,relcl,3,O,is,as,0,0
77,18,as,as,ADP,IN,18,prep,3,O,known,a,0,0
78,19,a,a,DET,DT,23,det,3,O,as,"""",0,0
