,Token_ID,Token,Lemma,POS,POS_TAG,Dependency_Head,Dependency_Label,idx_sent,Negation_cue,next,prev,trigram,trigram_list,prev_bigram,prev_bigram_list,next_bigram,next_bigram_list,HECT,HECA
0,0,1.,1.,X,LS,4,meta,0,O,Pad,The,1. The Singular,"['1.', 'The', 'Singular']",1. The,"['1.', 'The']",1. The,"['1.', 'The']",0,0
1,1,The,the,DET,DT,4,det,0,O,1.,Singular,1. The Singular,"['1.', 'The', 'Singular']",1. The,"['1.', 'The']",The Singular,"['The', 'Singular']",0,0
2,2,Singular,Singular,PROPN,NNP,4,compound,0,O,The,Experience,The Singular Experience,"['The', 'Singular', 'Experience']",The Singular,"['The', 'Singular']",Singular Experience,"['Singular', 'Experience']",0,0
3,3,Experience,Experience,PROPN,NNP,0,ROOT,0,O,Singular,of,Singular Experience of,"['Singular', 'Experience', 'of']",Singular Experience,"['Singular', 'Experience']",Experience of,"['Experience', 'of']",0,0
4,4,of,of,ADP,IN,4,prep,0,O,Experience,Mr.,Experience of Mr.,"['Experience', 'of', 'Mr.']",Experience of,"['Experience', 'of']",of Mr.,"['of', 'Mr.']",0,0
5,5,Mr.,Mr.,PROPN,NNP,9,compound,0,O,of,John,of Mr. John,"['of', 'Mr.', 'John']",of Mr.,"['of', 'Mr.']",Mr. John,"['Mr.', 'John']",0,0
6,6,John,John,PROPN,NNP,9,compound,0,O,Mr.,Scott,Mr. John Scott,"['Mr.', 'John', 'Scott']",Mr. John,"['Mr.', 'John']",John Scott,"['John', 'Scott']",0,0
7,7,Scott,Scott,PROPN,NNP,9,compound,0,O,John,Eccles,John Scott Eccles,"['John', 'Scott', 'Eccles']",John Scott,"['John', 'Scott']",Scott Eccles,"['Scott', 'Eccles']",0,0
8,8,Eccles,Eccles,PROPN,NNP,5,pobj,0,O,Scott,I,Scott Eccles I,"['Scott', 'Eccles', 'I']",Scott Eccles,"['Scott', 'Eccles']",Eccles I,"['Eccles', 'I']",0,0
9,0,I,I,PRON,PRP,2,nsubj,1,O,Eccles,find,Eccles I find,"['Eccles', 'I', 'find']",Eccles I,"['Eccles', 'I']",I find,"['I', 'find']",0,0
10,1,find,find,VERB,VBP,0,ROOT,1,O,I,it,I find it,"['I', 'find', 'it']",I find,"['I', 'find']",find it,"['find', 'it']",0,0
11,2,it,it,PRON,PRP,4,nsubj,1,O,find,recorded,find it recorded,"['find', 'it', 'recorded']",find it,"['find', 'it']",it recorded,"['it', 'recorded']",0,0
12,3,recorded,record,VERB,VBD,2,ccomp,1,O,it,in,it recorded in,"['it', 'recorded', 'in']",it recorded,"['it', 'recorded']",recorded in,"['recorded', 'in']",0,0
13,4,in,in,ADP,IN,4,prep,1,O,recorded,my,recorded in my,"['recorded', 'in', 'my']",recorded in,"['recorded', 'in']",in my,"['in', 'my']",0,0
14,5,my,my,PRON,PRP$,7,poss,1,O,in,notebook,in my notebook,"['in', 'my', 'notebook']",in my,"['in', 'my']",my notebook,"['my', 'notebook']",0,0
15,6,notebook,notebook,NOUN,NN,5,pobj,1,O,my,that,my notebook that,"['my', 'notebook', 'that']",my notebook,"['my', 'notebook']",notebook that,"['notebook', 'that']",0,0
16,7,that,that,SCONJ,IN,10,mark,1,O,notebook,it,notebook that it,"['notebook', 'that', 'it']",notebook that,"['notebook', 'that']",that it,"['that', 'it']",0,0
17,8,it,it,PRON,PRP,10,nsubj,1,O,that,was,that it was,"['that', 'it', 'was']",that it,"['that', 'it']",it was,"['it', 'was']",0,0
18,9,was,be,AUX,VBD,4,advcl,1,O,it,a,it was a,"['it', 'was', 'a']",it was,"['it', 'was']",was a,"['was', 'a']",0,0
19,10,a,a,DET,DT,15,det,1,O,was,bleak,was a bleak,"['was', 'a', 'bleak']",was a,"['was', 'a']",a bleak,"['a', 'bleak']",0,0
20,11,bleak,bleak,ADJ,JJ,15,amod,1,O,a,and,a bleak and,"['a', 'bleak', 'and']",a bleak,"['a', 'bleak']",bleak and,"['bleak', 'and']",0,0
21,12,and,and,CCONJ,CC,12,cc,1,O,bleak,windy,bleak and windy,"['bleak', 'and', 'windy']",bleak and,"['bleak', 'and']",and windy,"['and', 'windy']",0,0
22,13,windy,windy,ADJ,JJ,12,conj,1,O,and,day,and windy day,"['and', 'windy', 'day']",and windy,"['and', 'windy']",windy day,"['windy', 'day']",0,0
23,14,day,day,NOUN,NN,10,attr,1,O,windy,towards,windy day towards,"['windy', 'day', 'towards']",windy day,"['windy', 'day']",day towards,"['day', 'towards']",0,0
24,15,towards,towards,ADP,IN,10,prep,1,O,day,the,day towards the,"['day', 'towards', 'the']",day towards,"['day', 'towards']",towards the,"['towards', 'the']",0,0
25,16,the,the,DET,DT,18,det,1,O,towards,end,towards the end,"['towards', 'the', 'end']",towards the,"['towards', 'the']",the end,"['the', 'end']",0,0
26,17,end,end,NOUN,NN,16,pobj,1,O,the,of,the end of,"['the', 'end', 'of']",the end,"['the', 'end']",end of,"['end', 'of']",0,0
27,18,of,of,ADP,IN,18,prep,1,O,end,March,end of March,"['end', 'of', 'March']",end of,"['end', 'of']",of March,"['of', 'March']",0,0
28,19,March,March,PROPN,NNP,19,pobj,1,O,of,in,of March in,"['of', 'March', 'in']",of March,"['of', 'March']",March in,"['March', 'in']",0,0
29,20,in,in,ADP,IN,18,prep,1,O,March,the,March in the,"['March', 'in', 'the']",March in,"['March', 'in']",in the,"['in', 'the']",0,0
30,21,the,the,DET,DT,23,det,1,O,in,year,in the year,"['in', 'the', 'year']",in the,"['in', 'the']",the year,"['the', 'year']",0,0
31,22,year,year,NOUN,NN,21,pobj,1,O,the,1892,the year 1892,"['the', 'year', '1892']",the year,"['the', 'year']",year 1892,"['year', '1892']",0,0
32,23,1892,1892,NUM,CD,23,appos,1,O,year,.,year 1892 .,"['year', '1892', '.']",year 1892,"['year', '1892']",1892 .,"['1892', '.']",0,0
33,24,.,.,PUNCT,.,2,punct,1,O,1892,Holmes,1892 . Holmes,"['1892', '.', 'Holmes']",1892 .,"['1892', '.']",. Holmes,"['.', 'Holmes']",0,0
34,0,Holmes,Holmes,PROPN,NNP,3,nsubj,2,O,.,had,. Holmes had,"['.', 'Holmes', 'had']",. Holmes,"['.', 'Holmes']",Holmes had,"['Holmes', 'had']",0,0
35,1,had,have,AUX,VBD,3,aux,2,O,Holmes,received,Holmes had received,"['Holmes', 'had', 'received']",Holmes had,"['Holmes', 'had']",had received,"['had', 'received']",0,0
36,2,received,receive,VERB,VBN,0,ROOT,2,O,had,a,had received a,"['had', 'received', 'a']",had received,"['had', 'received']",received a,"['received', 'a']",0,0
37,3,a,a,DET,DT,5,det,2,O,received,telegram,received a telegram,"['received', 'a', 'telegram']",received a,"['received', 'a']",a telegram,"['a', 'telegram']",0,0
38,4,telegram,telegram,NOUN,NN,3,dobj,2,O,a,while,a telegram while,"['a', 'telegram', 'while']",a telegram,"['a', 'telegram']",telegram while,"['telegram', 'while']",0,0
39,5,while,while,SCONJ,IN,8,mark,2,O,telegram,we,telegram while we,"['telegram', 'while', 'we']",telegram while,"['telegram', 'while']",while we,"['while', 'we']",0,0
40,6,we,we,PRON,PRP,8,nsubj,2,O,while,sat,while we sat,"['while', 'we', 'sat']",while we,"['while', 'we']",we sat,"['we', 'sat']",0,0
41,7,sat,sit,VERB,VBD,3,advcl,2,O,we,at,we sat at,"['we', 'sat', 'at']",we sat,"['we', 'sat']",sat at,"['sat', 'at']",0,0
42,8,at,at,ADP,IN,8,prep,2,O,sat,our,sat at our,"['sat', 'at', 'our']",sat at,"['sat', 'at']",at our,"['at', 'our']",0,0
43,9,our,our,PRON,PRP$,11,poss,2,O,at,lunch,at our lunch,"['at', 'our', 'lunch']",at our,"['at', 'our']",our lunch,"['our', 'lunch']",0,0
44,10,lunch,lunch,NOUN,NN,9,pobj,2,O,our,",","our lunch ,","['our', 'lunch', ',']",our lunch,"['our', 'lunch']","lunch ,","['lunch', ',']",0,0
45,11,",",",",PUNCT,",",3,punct,2,O,lunch,and,"lunch , and","['lunch', ',', 'and']","lunch ,","['lunch', ',']",", and","[',', 'and']",0,0
46,12,and,and,CCONJ,CC,3,cc,2,O,",",he,", and he","[',', 'and', 'he']",", and","[',', 'and']",and he,"['and', 'he']",0,0
47,13,he,he,PRON,PRP,16,nsubj,2,O,and,had,and he had,"['and', 'he', 'had']",and he,"['and', 'he']",he had,"['he', 'had']",0,0
48,14,had,have,AUX,VBD,16,aux,2,O,he,scribbled,he had scribbled,"['he', 'had', 'scribbled']",he had,"['he', 'had']",had scribbled,"['had', 'scribbled']",0,0
49,15,scribbled,scribble,VERB,VBN,3,conj,2,O,had,a,had scribbled a,"['had', 'scribbled', 'a']",had scribbled,"['had', 'scribbled']",scribbled a,"['scribbled', 'a']",0,0
50,16,a,a,DET,DT,18,det,2,O,scribbled,reply,scribbled a reply,"['scribbled', 'a', 'reply']",scribbled a,"['scribbled', 'a']",a reply,"['a', 'reply']",0,0
51,17,reply,reply,NOUN,NN,16,dobj,2,O,a,.,a reply .,"['a', 'reply', '.']",a reply,"['a', 'reply']",reply .,"['reply', '.']",0,0
52,18,.,.,PUNCT,.,16,punct,2,O,reply,He,reply . He,"['reply', '.', 'He']",reply .,"['reply', '.']",. He,"['.', 'He']",0,0
53,0,He,he,PRON,PRP,2,nsubj,3,O,.,made,. He made,"['.', 'He', 'made']",. He,"['.', 'He']",He made,"['He', 'made']",0,0
54,1,made,make,VERB,VBD,0,ROOT,3,O,He,no,He made no,"['He', 'made', 'no']",He made,"['He', 'made']",made no,"['made', 'no']",0,0
55,2,no,no,DET,DT,4,det,3,B-NEG,made,remark,made no remark,"['made', 'no', 'remark']",made no,"['made', 'no']",no remark,"['no', 'remark']",1,0
56,3,remark,remark,NOUN,NN,2,dobj,3,O,no,",","no remark ,","['no', 'remark', ',']",no remark,"['no', 'remark']","remark ,","['remark', ',']",0,0
57,4,",",",",PUNCT,",",2,punct,3,O,remark,but,"remark , but","['remark', ',', 'but']","remark ,","['remark', ',']",", but","[',', 'but']",0,0
58,5,but,but,CCONJ,CC,2,cc,3,O,",",the,", but the","[',', 'but', 'the']",", but","[',', 'but']",but the,"['but', 'the']",0,0
59,6,the,the,DET,DT,8,det,3,O,but,matter,but the matter,"['but', 'the', 'matter']",but the,"['but', 'the']",the matter,"['the', 'matter']",0,0
60,7,matter,matter,NOUN,NN,9,nsubj,3,O,the,remained,the matter remained,"['the', 'matter', 'remained']",the matter,"['the', 'matter']",matter remained,"['matter', 'remained']",0,0
61,8,remained,remain,VERB,VBD,2,conj,3,O,matter,in,matter remained in,"['matter', 'remained', 'in']",matter remained,"['matter', 'remained']",remained in,"['remained', 'in']",0,0
62,9,in,in,ADP,IN,9,prep,3,O,remained,his,remained in his,"['remained', 'in', 'his']",remained in,"['remained', 'in']",in his,"['in', 'his']",0,0
63,10,his,his,PRON,PRP$,12,poss,3,O,in,thoughts,in his thoughts,"['in', 'his', 'thoughts']",in his,"['in', 'his']",his thoughts,"['his', 'thoughts']",0,0
64,11,thoughts,thought,NOUN,NNS,10,pobj,3,O,his,",","his thoughts ,","['his', 'thoughts', ',']",his thoughts,"['his', 'thoughts']","thoughts ,","['thoughts', ',']",0,0
65,12,",",",",PUNCT,",",9,punct,3,O,thoughts,for,"thoughts , for","['thoughts', ',', 'for']","thoughts ,","['thoughts', ',']",", for","[',', 'for']",0,0
66,13,for,for,SCONJ,IN,16,mark,3,O,",",he,", for he","[',', 'for', 'he']",", for","[',', 'for']",for he,"['for', 'he']",0,0
67,14,he,he,PRON,PRP,16,nsubj,3,O,for,stood,for he stood,"['for', 'he', 'stood']",for he,"['for', 'he']",he stood,"['he', 'stood']",0,0
68,15,stood,stand,VERB,VBD,9,advcl,3,O,he,in,he stood in,"['he', 'stood', 'in']",he stood,"['he', 'stood']",stood in,"['stood', 'in']",0,0
69,16,in,in,ADP,IN,16,prep,3,O,stood,front,stood in front,"['stood', 'in', 'front']",stood in,"['stood', 'in']",in front,"['in', 'front']",0,0
70,17,front,front,NOUN,NN,17,pobj,3,O,in,of,in front of,"['in', 'front', 'of']",in front,"['in', 'front']",front of,"['front', 'of']",0,0
71,18,of,of,ADP,IN,18,prep,3,O,front,the,front of the,"['front', 'of', 'the']",front of,"['front', 'of']",of the,"['of', 'the']",0,0
72,19,the,the,DET,DT,21,det,3,O,of,fire,of the fire,"['of', 'the', 'fire']",of the,"['of', 'the']",the fire,"['the', 'fire']",0,0
73,20,fire,fire,NOUN,NN,19,pobj,3,O,the,afterwards,the fire afterwards,"['the', 'fire', 'afterwards']",the fire,"['the', 'fire']",fire afterwards,"['fire', 'afterwards']",0,0
74,21,afterwards,afterwards,ADV,RB,16,advmod,3,O,fire,with,fire afterwards with,"['fire', 'afterwards', 'with']",fire afterwards,"['fire', 'afterwards']",afterwards with,"['afterwards', 'with']",0,0
75,22,with,with,ADP,IN,16,prep,3,O,afterwards,a,afterwards with a,"['afterwards', 'with', 'a']",afterwards with,"['afterwards', 'with']",with a,"['with', 'a']",0,0
76,23,a,a,DET,DT,26,det,3,O,with,thoughtful,with a thoughtful,"['with', 'a', 'thoughtful']",with a,"['with', 'a']",a thoughtful,"['a', 'thoughtful']",0,0
77,24,thoughtful,thoughtful,ADJ,JJ,26,amod,3,O,a,face,a thoughtful face,"['a', 'thoughtful', 'face']",a thoughtful,"['a', 'thoughtful']",thoughtful face,"['thoughtful', 'face']",0,0
78,25,face,face,NOUN,NN,23,pobj,3,O,thoughtful,",","thoughtful face ,","['thoughtful', 'face', ',']",thoughtful face,"['thoughtful', 'face']","face ,","['face', ',']",0,0
79,26,",",",",PUNCT,",",16,punct,3,O,face,smoking,"face , smoking","['face', ',', 'smoking']","face ,","['face', ',']",", smoking","[',', 'smoking']",0,0
80,27,smoking,smoke,VERB,VBG,16,advcl,3,O,",",his,", smoking his","[',', 'smoking', 'his']",", smoking","[',', 'smoking']",smoking his,"['smoking', 'his']",0,0
81,28,his,his,PRON,PRP$,30,poss,3,O,smoking,pipe,smoking his pipe,"['smoking', 'his', 'pipe']",smoking his,"['smoking', 'his']",his pipe,"['his', 'pipe']",0,0
82,29,pipe,pipe,NOUN,NN,28,dobj,3,O,his,",","his pipe ,","['his', 'pipe', ',']",his pipe,"['his', 'pipe']","pipe ,","['pipe', ',']",0,0
83,30,",",",",PUNCT,",",28,punct,3,O,pipe,and,"pipe , and","['pipe', ',', 'and']","pipe ,","['pipe', ',']",", and","[',', 'and']",0,0
84,31,and,and,CCONJ,CC,28,cc,3,O,",",casting,", and casting","[',', 'and', 'casting']",", and","[',', 'and']",and casting,"['and', 'casting']",0,0
85,32,casting,cast,VERB,VBG,28,conj,3,O,and,an,and casting an,"['and', 'casting', 'an']",and casting,"['and', 'casting']",casting an,"['casting', 'an']",0,0
86,33,an,an,DET,DT,36,det,3,O,casting,occasional,casting an occasional,"['casting', 'an', 'occasional']",casting an,"['casting', 'an']",an occasional,"['an', 'occasional']",0,0
87,34,occasional,occasional,ADJ,JJ,36,amod,3,O,an,glance,an occasional glance,"['an', 'occasional', 'glance']",an occasional,"['an', 'occasional']",occasional glance,"['occasional', 'glance']",0,0
88,35,glance,glance,NOUN,NN,33,dobj,3,O,occasional,at,occasional glance at,"['occasional', 'glance', 'at']",occasional glance,"['occasional', 'glance']",glance at,"['glance', 'at']",0,0
89,36,at,at,ADP,IN,33,prep,3,O,glance,the,glance at the,"['glance', 'at', 'the']",glance at,"['glance', 'at']",at the,"['at', 'the']",0,0
90,37,the,the,DET,DT,39,det,3,O,at,message,at the message,"['at', 'the', 'message']",at the,"['at', 'the']",the message,"['the', 'message']",0,0
91,38,message,message,NOUN,NN,37,pobj,3,O,the,.,the message .,"['the', 'message', '.']",the message,"['the', 'message']",message .,"['message', '.']",0,0
92,39,.,.,PUNCT,.,9,punct,3,O,message,Suddenly,message . Suddenly,"['message', '.', 'Suddenly']",message .,"['message', '.']",. Suddenly,"['.', 'Suddenly']",0,0
93,0,Suddenly,suddenly,ADV,RB,3,advmod,4,O,.,he,. Suddenly he,"['.', 'Suddenly', 'he']",. Suddenly,"['.', 'Suddenly']",Suddenly he,"['Suddenly', 'he']",0,0
94,1,he,he,PRON,PRP,3,nsubj,4,O,Suddenly,turned,Suddenly he turned,"['Suddenly', 'he', 'turned']",Suddenly he,"['Suddenly', 'he']",he turned,"['he', 'turned']",0,0
95,2,turned,turn,VERB,VBD,0,ROOT,4,O,he,upon,he turned upon,"['he', 'turned', 'upon']",he turned,"['he', 'turned']",turned upon,"['turned', 'upon']",0,0
96,3,upon,upon,SCONJ,IN,3,prep,4,O,turned,me,turned upon me,"['turned', 'upon', 'me']",turned upon,"['turned', 'upon']",upon me,"['upon', 'me']",0,0
97,4,me,I,PRON,PRP,4,pobj,4,O,upon,with,upon me with,"['upon', 'me', 'with']",upon me,"['upon', 'me']",me with,"['me', 'with']",0,0
98,5,with,with,ADP,IN,3,prep,4,O,me,a,me with a,"['me', 'with', 'a']",me with,"['me', 'with']",with a,"['with', 'a']",0,0
99,6,a,a,DET,DT,9,det,4,O,with,mischievous,with a mischievous,"['with', 'a', 'mischievous']",with a,"['with', 'a']",a mischievous,"['a', 'mischievous']",0,0
100,7,mischievous,mischievous,ADJ,JJ,9,amod,4,O,a,twinkle,a mischievous twinkle,"['a', 'mischievous', 'twinkle']",a mischievous,"['a', 'mischievous']",mischievous twinkle,"['mischievous', 'twinkle']",0,0
101,8,twinkle,twinkle,NOUN,NN,6,pobj,4,O,mischievous,in,mischievous twinkle in,"['mischievous', 'twinkle', 'in']",mischievous twinkle,"['mischievous', 'twinkle']",twinkle in,"['twinkle', 'in']",0,0
102,9,in,in,ADP,IN,9,prep,4,O,twinkle,his,twinkle in his,"['twinkle', 'in', 'his']",twinkle in,"['twinkle', 'in']",in his,"['in', 'his']",0,0
103,10,his,his,PRON,PRP$,12,poss,4,O,in,eyes,in his eyes,"['in', 'his', 'eyes']",in his,"['in', 'his']",his eyes,"['his', 'eyes']",0,0
104,11,eyes,eye,NOUN,NNS,10,pobj,4,O,his,.,his eyes .,"['his', 'eyes', '.']",his eyes,"['his', 'eyes']",eyes .,"['eyes', '.']",0,0
105,12,.,.,PUNCT,.,3,punct,4,O,eyes,"""","eyes . ""","['eyes', '.', '""']",eyes .,"['eyes', '.']",". ""","['.', '""']",0,0
106,0,"""","""",PUNCT,``,19,punct,5,O,.,I,". "" I","['.', '""', 'I']",". ""","['.', '""']",""" I","['""', 'I']",0,0
107,1,I,I,PRON,PRP,3,nsubj,5,O,"""",suppose,""" I suppose","['""', 'I', 'suppose']",""" I","['""', 'I']",I suppose,"['I', 'suppose']",0,0
108,2,suppose,suppose,VERB,VBP,19,ccomp,5,O,I,",","I suppose ,","['I', 'suppose', ',']",I suppose,"['I', 'suppose']","suppose ,","['suppose', ',']",0,0
109,3,",",",",PUNCT,",",9,punct,5,O,suppose,Watson,"suppose , Watson","['suppose', ',', 'Watson']","suppose ,","['suppose', ',']",", Watson","[',', 'Watson']",0,0
110,4,Watson,Watson,PROPN,NNP,9,npadvmod,5,O,",",",",", Watson ,","[',', 'Watson', ',']",", Watson","[',', 'Watson']","Watson ,","['Watson', ',']",0,0
111,5,",",",",PUNCT,",",9,punct,5,O,Watson,we,"Watson , we","['Watson', ',', 'we']","Watson ,","['Watson', ',']",", we","[',', 'we']",0,0
112,6,we,we,PRON,PRP,9,nsubj,5,O,",",must,", we must","[',', 'we', 'must']",", we","[',', 'we']",we must,"['we', 'must']",0,0
113,7,must,must,AUX,MD,9,aux,5,O,we,look,we must look,"['we', 'must', 'look']",we must,"['we', 'must']",must look,"['must', 'look']",0,0
114,8,look,look,VERB,VB,3,ccomp,5,O,must,upon,must look upon,"['must', 'look', 'upon']",must look,"['must', 'look']",look upon,"['look', 'upon']",0,0
115,9,upon,upon,SCONJ,IN,9,prep,5,O,look,you,look upon you,"['look', 'upon', 'you']",look upon,"['look', 'upon']",upon you,"['upon', 'you']",0,0
